Supplier code,Supplier ,Country ,SD PATTERN ,SD Pattern desc,Transit time (days),Safety time (stock) / days,MR transit 
2350,ADIENT Ltd. & Co. KG,/,,,0,5,
359007,Couro Azul SA,/,,,3,5,
345149,Italthierry Auto Leather,/,,,0,5,
322413,Joubert Productions S.A.S.,/,,,0,5,
340290,Stokvis Promi s.r.o.,/,,,7,5,
322402,Arrotex NV,BE,01,1st week,10,5,
362343,SIOEN FABRICS CALENDERING,BE,01,1st week,7,5,
355399,Fremach Izegem NV,BE,,,5,5,
2352,ADIENT Ltd. & Co. KG ROUDNICE,CZ,14,1st and 3rd week,2,5,
310412,ASV vyrobni druzstvo,CZ,02,2nd week,3,5,
392238,"Fibertex Nonwovens, a.s.",CZ,02,2nd week,3,5,
338441,JM PARTNERS.CZ,CZ,01,1st week,7,5,
345725,JUTA a.s.,CZ,03,3rd week,0,5,
321000,Retex a.s.,CZ,01,1st week,0,5,
408957,"Sage Automotive Interiors,STR",CZ,16,Every week,7,5,
340527,STAP a.s.,CZ,01,1st week,0,5,
302302,Uniroyal Global Ltd.,CZ,6,1st and 3rd week,7,5,
314538,Snezka v.d. ( DAP ),CZ,,,7,5,
339788,Texla a.s.,CZ,01,1st week,5,5,
368067,Baumann Springs s.r.o.,CZ,01,1st week,7,5,
398287,Ultrafabrics EUROPE LTD,CZ,01,1st week,10,5,
300179,Amann und Soehne GmbH und Co,DE,01,1st week,7,5,
300216,AUNDE Achter & Ebels GmbH,DE,6,1st and 3rd week,3,5,
300024,Boxmark Leather GmbH & Co Kg,DE,,,7,5,
393440,Gutermann GmbH,DE,03,3rd week,0,5,
308202,Gueth & Wolf GmbH,DE,,,7,5,
302583,Herbert Kneitz GmbH,DE,01,1st week,14,5,
302188,Ideal Automotive GmbH,DE,03,3rd week,0,5,
361589,J.H. Ziegler GmbH,DE,,,7,5,
314573,Kneitz Wilhelm AG,DE,01,1st week,7,5,
384884,Kufner GmbH,DE,,,0,5,
309493,NEVEON Germany GmbH,DE,03,3rd week,7,5,
309260,Oke Automotive GmbH & Co.KG,DE,01,1st week,7,5,
300468,ROWA,DE,03,3rd week,0,5,
300854,Straehle and Hess GmbH,DE,03,3rd week,14,5,
300224,Titgemeyer GmbH &Co. Kg,DE,,,7,5,
310099,Velcro GmbH,DE,01,1st week,0,5,4
314426,YKK Stocko Fastener GmbH,DE,03,3rd week,0,5,
326093,zwissTEX Germany GmbH,DE,,,0,5,
300246,Benecke-Kaliko AG,DE,01,1st week,7,5,
300256,Giebeler GmbH,DE,6,1st and 3rd week,7,5,
300315,Scherdel GmbH,DE,01,1st week,7,5,4
301035,MAO Automotive GmbH & Co. KG,DE,,,0,5,
301172,Zendaleather GmbH,DE,6,1st and 3rd week,7,5,4
305865,LISI Automotive Knipping VT,DE,01,1st week,7,5,
308237,Tuchfabrik Willy Schmitz Gmb,DE,01,1st week,7,5,
314592,Lisi Automotive Mecano GmbH,DE,,,0,5,
323679,Scherdel Schweiss- und,DE,,,0,5,
325834,Franz Barta GmbH,DE,,,0,5,
356999,BADER INTERNATIONAL,DE,6,1st and 3rd week,2,5,
363586,Steel Automotive GmbH,DE,01,1st week,7,5,
369145,Baumann GmbH,DE,01,1st week,7,5,
369531,TEMETIC GmbH,DE,01,1st week,7,5,4
406921,Jahn GmbH & Co. KG,DE,01,1st week,7,5,4
402017,Kvadrat A/S,DN,,,0,5,
416257,Griffine Industries,FR,02,2nd week,7,5,
353490,Toiltech SAS,FR,02,2nd week,7,5,
370003,CGR Veynes,FR,02,2nd week,10,5,
418184,CGR Sarrebourg,FR,02,2nd week,10,5,
341170,KOSTELAR d.o.o.,HR,7,2nd and 4th week,1,5,
414120,Wollsdorf Components d.o.o.,HR,7,2nd and 4th week,2,5,
317067,Eagle Ottawa Hungary Kft.,HU,03,3rd week,7,5,
366654,tesa tape Kft.,HU,,,7,5,
352346,AE-Plasztik ZRt.,HU,6,1st and 3rd week,5,5,
309367,Alcantara Spa,IT,02,2nd week,3,5,3
395103,Apollo s.r.l.,IT,7,2nd and 4th week,7,5,
321825,Aunde Italia spa,IT,7,2nd and 4th week,7,5,3
407170,FILMAR s.r.l.,IT,,,0,5,
320746,Mario Levi SPA,IT,02,2nd week,7,5,3
322421,Texno SRL,IT,02,2nd week,0,5,3
329804,Vulcaflex  S.p.A,IT,02,2nd week,0,5,
349842,Polydesign Systems S.A.R.L.,MA,,,7,5,
408306,Sage Automotive Interiors Ke,MA,,,0,5,
2359,TRIM Strumica PRINCIPAL,MK,,,7,5,
302188 ( 405586 ),IDEAL Fastener Europe BV,NL,02,2nd week,10,5,
354340,TR Holland,NL,02,2nd week,10,5,
405779,Quaker Houghton Sales B.V.,NL,02,2nd week,10,5,
302798,Aunde Poland sp. z.o.o.,PL,,,14,5,
344503,BADER Polska Sp. z.o.o.,PL,,,0,5,
402512,Lear Corporation Poland II S,PL,02,2nd week,7,5,
349772,ORSA-MOTO Sp.z o.o.,PL,02,2nd week,0,5,
407410,PPUH ANDRA Sp. z o. o.,PL,,,7,5,
370144,Sage Automotive Interiors Po,PL,7,1st and 3rd week,3,5,
357177,YKK Poland SP Zoo,PL,02,2nd week,0,5,
338458,Etisoft Sp.z o.o.,PL,02,2nd week,7,5,
366723,Mueller Technik Koszalin Sp.,PL,02,2nd week,0,5,
409658,CX80 POLSKA A Nadera D Nader,PL,02,2nd week,7,5,
409783,POLPLAST POLSKA SP Z OO,PL,7,2nd and 4th week,2,5,
