"ReportType","AnomalyType","Site","ItemNumber","ItemDescription","ItemType","Supplier","SupplierName","ScheduleNumber","ScheduleLine","PONumber","POLine","Metric1Label","Metric1Value","Metric2Label","Metric2Value","Metric3Label","Metric3Value","EarliestDate","LatestDate","Action"
"SUMMARY","ANOMALY_SUMMARY","","","","","","","","","","","IssueCount","253","","","","","","",""
"SUMMARY","ANOMALY_SUMMARY","","","","","","","","","","","IssueCount","7","","","","","","",""
"SUMMARY","ANOMALY_SUMMARY","","","","","","","","","","","IssueCount","25","","","","","","",""
"SUMMARY","ANOMALY_SUMMARY","","","","","","","","","","","IssueCount","622","","","","","","",""
"SUMMARY","ANOMALY_SUMMARY","","","","","","","","","","","IssueCount","16","","","","","","",""
"ISSUE","DUPLICATE_PO_LINES","2798","1810953-N_I","ID LBL 30 RP","RM","","","","","","","ActivePOLineCount","2","POLines","55103670/2, 55110720/2","Suppliers","338441, 338441","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","DUPLICATE_PO_LINES","2798","1810953-N_O","ID LBL 30 RP","RM","","","","","","","ActivePOLineCount","2","POLines","55103670/1, 55110757/2","Suppliers","338441, 338441","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","DUPLICATE_PO_LINES","2798","3634148-N_N","ELASTIC STRIP 19 RP","RM","","","","","","","ActivePOLineCount","2","POLines","55110665/1, 55110833/1","Suppliers","322402, 407410","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","DUPLICATE_PO_LINES","2798","5072768-N_L","ARROW RTNR 90","RM","","","","","","","ActivePOLineCount","2","POLines","55103526/18, 55104117/10","Suppliers","320907, 320907","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","DUPLICATE_PO_LINES","2798","5171472-1M_O","THD 20/3 161TEX","RM","","","","","","","ActivePOLineCount","2","POLines","55103542/1, 55110759/3","Suppliers","300179, 300179","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","DUPLICATE_PO_LINES","2798","5350188-1800QZ_O","MODENE F2 D28 CKS G30","RM","","","","","","","ActivePOLineCount","2","POLines","55103343/1, 55110749/5","Suppliers","300216, 300216","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","DUPLICATE_PO_LINES","2798","6748313-N_L","ARROW RTNR 245","RM","","","","","","","ActivePOLineCount","2","POLines","55103526/17, 55104117/12","Suppliers","320907, 320907","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","2577738","METAL PIN SPRING","RM","368067","","","","","","WeeksOfCoverage","307.100000","SafetyStock","153557","AvgWeeklyQty","500.0000000000","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","2688450","FOAM SIDEBOLSTER LH V542","RM","2189","","","","","","WeeksOfCoverage","160.000000","SafetyStock","160","AvgWeeklyQty","1.0000000000","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","2690843","FOAM SIDEBOLSTER RH V542","RM","2189","","","","","","WeeksOfCoverage","239.500000","SafetyStock","612","AvgWeeklyQty","2.5555555555","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","2944383-CHAC","AR CPL VINYL W CUPHOLDER","No BOM","","","","","","","WeeksOfCoverage","174.200000","SafetyStock","300","AvgWeeklyQty","1.7222222222","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","3500057","CUPHOLDER BOX WITH RUBBE","No BOM","","","","","","","WeeksOfCoverage","38.500000","SafetyStock","100","AvgWeeklyQty","2.6000000000","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","3722392-52","PA SBP","FG","","","","","","","WeeksOfCoverage","17.500000","SafetyStock","7000","AvgWeeklyQty","400.0000000000","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5176299-CHAC","COVER BEZEL","No BOM","","","","","","","WeeksOfCoverage","686.800000","SafetyStock","2800","AvgWeeklyQty","4.0769230769","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5319159-CHAC","CUPHOLDER COVER","No BOM","394112","","","","","","WeeksOfCoverage","370.100000","SafetyStock","5164","AvgWeeklyQty","13.9527027027","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5353191-Q4","TA.SC VEL FB RH","FG","","","","","","","WeeksOfCoverage","29.100000","SafetyStock","100","AvgWeeklyQty","3.4415584415","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5353192-20","TA.SC VEL FB RH","FG","","","","","","","WeeksOfCoverage","75.300000","SafetyStock","2000","AvgWeeklyQty","26.5566037735","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5353194-10","TA.SC LTH FB RH","FG","","","","","","","WeeksOfCoverage","30.300000","SafetyStock","100","AvgWeeklyQty","3.3004291845","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5353296-Q4","TA.SC VEL FB LH","FG","","","","","","","WeeksOfCoverage","20.500000","SafetyStock","100","AvgWeeklyQty","4.8757396449","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5363916-10","TA.SC LTH FC","FG","","","","","","","WeeksOfCoverage","25.600000","SafetyStock","100","AvgWeeklyQty","3.9085714285","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5364025-10","TA.SC LTH FB RH","FG","","","","","","","WeeksOfCoverage","20.000000","SafetyStock","100","AvgWeeklyQty","5.0000000000","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5364045-10","TA.SC LTH FB LH","FG","","","","","","","WeeksOfCoverage","31.000000","SafetyStock","100","AvgWeeklyQty","3.2307692307","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","6558990-GRAT","RARM Textile Graphite","No BOM","","","","","","","WeeksOfCoverage","100.000000","SafetyStock","100","AvgWeeklyQty","1.0000000000","","","Review and reduce safety stock if excessive"
"ISSUE","MISSING_PO_LINE","2798","1831345-1120-270","CRDBD/VMESNI KARTON","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","1831345-1130-720-5","CRDBD/VMESNI KARTON","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","1831345-270-440","CRDBD/VMESNI KARTON","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","1831345-720-80Z","CRDBD/VMESNI KARTON","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","1831345-800-720","CRDBD/VMESNI KARTON","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","3014886-1800WB_N","SIGMA F5-D28 CKS-G35","RM","370144","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","4082754-180024_WR","OSAKA F8-D28 CKS-G38","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","4082763-180024_WR","OSAKA F4-D28 CKS-G38","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","4082766-180024_WR","OSAKA F2-D28 CKS-G38","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","4082770-180024_WR","OSAKA F1-D28 CKS-G38","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","5998749","FRONT PLATE FHR","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","5998751","SPEAKER CLOSING COVER","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
