"ItemNumber","Supplier","Month","MrpPlannedQty","SupplierSchedQty","Delta","CoverageRatio","Status"
"108363-20_C","393400","2025-12","0","780000","-780000","0","MRP_Missing"
"108363-20_C","393400","2026-02","0","480000","-480000","0","MRP_Missing"
"108363-20_C","393400","2026-03","0","300000","-300000","0","MRP_Missing"
"108363-20_D","300179","2026-04","0","1","-1","0","MRP_Missing"
"108363-20_M","393400","2025-12","0","3000000","-3000000","0","MRP_Missing"
"108363-20_M","393400","2026-02","0","1900000","-1900000","0","MRP_Missing"
"108363-20_M","393400","2026-03","0","4500000","-4500000","0","MRP_Missing"
"108363-20_M","393400","2026-05","0","2022400","-2022400","0","MRP_Missing"
"108363-20_M","393400","2026-06","0","1491000","-1491000","0","MRP_Missing"
"108363-20_M","393400","2026-07","0","2326000","-2326000","0","MRP_Missing"
"108363-20_M","393400","2026-08","0","1926600","-1926600","0","MRP_Missing"
"108363-20_M","393400","2026-09","0","2289000","-2289000","0","MRP_Missing"
"108363-20_M","393400","2026-10","0","997400","-997400","0","MRP_Missing"
"108363-20_M","393400","2026-11","0","600","-600","0","MRP_Missing"
"108363-20_N","393400","2025-12","0","1500000","-1500000","0","MRP_Missing"
"108363-20_N","393400","2026-02","0","100000","-100000","0","MRP_Missing"
"108363-20_N","393400","2026-03","0","1500000","-1500000","0","MRP_Missing"
"108363-20_N","393400","2026-04","1150859","0","1150859",,"MRP_Extra"
"108363-20_O","300179","2025-12","0","70000","-70000","0","MRP_Missing"
"108363-20_O","300179","2026-01","0","70000","-70000","0","MRP_Missing"
"108363-20_O","300179","2026-02","0","70000","-70000","0","MRP_Missing"
"108363-20_O","300179","2026-03","0","70000","-70000","0","MRP_Missing"
"108363-20_TR","300179","2026-03","384000","360000","24000","1.067","Covered_or_Over"
"108363-20_TR","300179","2026-04","360000","408000","-48000","0.882","Short"
"108363-20_TR","300179","2026-05","576000","528000","48000","1.091","Covered_or_Over"
"108363-20_TR","300179","2026-06","120000","312000","-192000","0.385","Short"
"108363-20_TR","300179","2026-07","0","288000","-288000","0","MRP_Missing"
"108363-20_TR","300179","2026-08","0","648000","-648000","0","MRP_Missing"
"108363-20_TR","300179","2026-09","0","528000","-528000","0","MRP_Missing"
"108363-20_TR","300179","2026-10","0","408000","-408000","0","MRP_Missing"
"108363-20_TR","300179","2026-11","0","48000","-48000","0","MRP_Missing"
