"PO Item buyer","PO Supplier","Supplier Name","PO Number","PO Line","Item Number","Received Qty","Standard Pack","Transport Days","Start Effective Date","PO Release ID","Active/Closed","Duplicate PO Line","Dual Supplier","Transport Days Check","Inactive_Release_Check","Schedule Release ID","Schedule release Date","Schedule Qty","schd_fc_qual","schd_interval","Schedule Cum Qty","schd__chr02","schd__dte02","schd_upd_qty"
"aspmar1","300216","AUNDE Achter & Ebels GmbH","55103343","1","5350188-1800QZ_O","1233.2000000000","200","10.0000000000","18/08/2021 00:00:00","20251208-001","Active","Yes","","NOK","","20251208-001","16/02/2026 00:00:00","200.0000000000","P","w","1433.2000000000","","","200.0000000000"
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","2","5649893-180020_I","0.0000000000","1","7.0000000000","16/08/2022 00:00:00","20230413-002","Closed","","","NOK","Yes","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","3","5722609-140020_I","0.0000000000","1","7.0000000000","16/08/2022 00:00:00","20230413-002","Closed","","","NOK","Yes","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","4","5649924-140020_I","0.0000000000","1","7.0000000000","16/08/2022 00:00:00","","Closed","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","5","5066400-1500A70_P","0.0000000000","60","7.0000000000","13/04/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","6","5066400-150020_P","613.3000000000","60","7.0000000000","13/04/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","7","5066400-1500A71_P","0.0000000000","60","7.0000000000","13/04/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","8","5066400-1500A41_P","0.0000000000","60","7.0000000000","13/04/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","9","5066400-1500A78_P","0.0000000000","60","7.0000000000","13/04/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","10","5066400-1500A20_P","584.0000000000","60","7.0000000000","13/04/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","11","5066400-1500A35_P","0.0000000000","60","7.0000000000","13/04/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","12","5066400-1760A70_P","0.0000000000","1","7.0000000000","15/06/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","13","5066400-176020_P","200.0000000000","1","7.0000000000","15/06/2023 00:00:00","20251204-001","Active","","","NOK","","20251204-001","01/06/2026 00:00:00","1300.0000000000","P","W","1500.0000000000","P","01/06/2026 00:00:00","1300.0000000000"
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","14","5066400-1760A71_P","0.0000000000","1","7.0000000000","15/06/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","15","5066400-1760A41_P","0.0000000000","1","7.0000000000","15/06/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","16","5066400-1760A78_P","0.0000000000","1","7.0000000000","15/06/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","17","5066400-1760A20_P","200.4000000000","1","7.0000000000","15/06/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"adrljaa","300216","AUNDE Achter & Ebels GmbH","55103343","18","5066400-1760A35_P","0.0000000000","1","7.0000000000","15/06/2023 00:00:00","20251204-001","Active","","","NOK","","","","","","","","","",""
"arasevj","300216","AUNDE Achter & Ebels GmbH","55103343","19","6391435-1800C09_O","0.0000000000","100","4.0000000000","14/11/2025 00:00:00","20251208-001","Active","","","NOK","","20251208-001","15/12/2025 00:00:00","200.0000000000","P","w","200.0000000000","F","15/12/2025 00:00:00","200.0000000000"
