"Site","SupplierCode","SupplierName","DistinctSDPatterns","DistinctTransportDays","ActivePOLineCount","ModalSDPattern","ModalTransportDays","HasInternalInconsistency"
"2798","1525","ADIENT INNOTEC METAL","0","2","5","","5.0000000000","YES"
"2798","2171","ADIENT SLOVAKIA s.r.o.","0","3","89","","2.0000000000","YES"
"2798","2352","ADIENT Ltd. & Co. KG","0","3","147","","7.0000000000","YES"
"2798","2848","ADIENT LTD & CO. KG","0","3","30","","2.0000000000","YES"
"2798","300179","Amann und Soehne GmbH und Co","0","2","80","","7.0000000000","YES"
"2798","300216","AUNDE Achter & Ebels GmbH","0","4","22","","7.0000000000","YES"
"2798","300854","Straehle and Hess GmbH","0","3","3","","0.0000000000","YES"
"2798","302302","Uniroyal Global Ltd.","0","2","20","","0.0000000000","YES"
"2798","305389","Sinflex Industria de Molas","0","2","2","","5.0000000000","YES"
"2798","305865","LISI Automotive Knipping VT ","0","2","3","","5.0000000000","YES"
"2798","306180","HIGA s.r.o","0","2","30","","0.0000000000","YES"
"2798","307267","Tekstilna Tovarna Okroglica ","0","2","5","","0.0000000000","YES"
"2798","309260","Oke Automotive GmbH & Co.KG","0","2","16","","7.0000000000","YES"
"2798","310099","Velcro GmbH","0","3","13","","0.0000000000","YES"
"2798","314538","Snezka v.d.","0","2","66","","0.0000000000","YES"
"2798","317032","Plama-pur d.o.o.","0","2","2","","0.0000000000","YES"
"2798","317067","Eagle Ottawa Hungary Kft.","0","2","11","","0.0000000000","YES"
"2798","320746","Mario Levi SPA","0","2","4","","7.0000000000","YES"
"2798","320907","COBA AUTOMOTIVE SRO","0","3","147","","0.0000000000","YES"
"2798","320951","Dual Borgstena Textil Portug","0","3","40","","7.0000000000","YES"
"2798","321825","Aunde Italia spa","0","2","95","","0.0000000000","YES"
"2798","324587","MIKO SRL","0","2","5","","0.0000000000","YES"
"2798","325184","TMG - T.P.e O.R.para a I.A. ","0","2","9","","0.0000000000","YES"
"2798","326093","zwissTEX Germany GmbH","0","2","2","","7.0000000000","YES"
"2798","329804","Vulcaflex  S.p.A","0","2","28","","5.0000000000","YES"
"2798","331567","OKE Plastic SK, s.r.o.","0","2","69","","0.0000000000","YES"
"2798","337797","Raymond A. Jablonec, s.r.o.","0","2","2","","5.0000000000","YES"
"2798","338441","JM PARTNERS.CZ","0","3","26","","0.0000000000","YES"
"2798","338458","Etisoft Sp.z o.o.","0","3","4","","0.0000000000","YES"
"2798","338888","Howe & Co. Pty. Ltd.","0","2","9","","0.0000000000","YES"
"2798","338953","TMG Automotive","0","4","39","","7.0000000000","YES"
"2798","340527","STAP a.s.","0","2","9","","0.0000000000","YES"
"2798","341170","KOSTELAR d.o.o.","0","2","13","","2.0000000000","YES"
"2798","352346","AE-Plasztik ZRt.","0","2","15","","5.0000000000","YES"
"2798","353482","RUBA FERMUAR VE PRES DOKUM","0","4","13","","0.0000000000","YES"
"2798","354340","TR Holland","0","2","5","","7.0000000000","YES"
"2798","356583","GERGONNE SLOVENSKO s.r.o.","0","2","7","","0.0000000000","YES"
"2798","356999","BADER INTERNATIONAL","0","2","13","","5.0000000000","YES"
"2798","357177","YKK Poland SP Zoo","0","2","20","","0.0000000000","YES"
"2798","362343","SIOEN FABRICS CALENDERING","0","3","10","","10.0000000000","YES"
"2798","366654","tesa tape Kft.","0","4","8","","0.0000000000","YES"
"2798","368067","Baumann Springs s.r.o.","0","2","2","","7.0000000000","YES"
"2798","369008","PARAPLAST D.O.O.","0","2","4","","2.0000000000","YES"
"2798","369391","Global Enterprises Int, SRL","0","2","82","","0.0000000000","YES"
"2798","370003","CGR Veynes","0","4","6","","5.0000000000","YES"
"2798","372983","Metaplast SRL","0","2","10","","5.0000000000","YES"
"2798","381291","TESCA SPAIN BARCELONA, S.L.U","0","2","6","","4.0000000000","YES"
"2798","392238","Fibertex Nonwovens, a.s.","0","3","16","","0.0000000000","YES"
"2798","393400","Coats Turkiye Iplik Sanayii ","0","4","59","","0.0000000000","YES"
"2798","393440","G?termann GmbH","0","2","55","","0.0000000000","YES"
"2798","394112","Kolektor Mobility d o o","0","4","18","","3.0000000000","YES"
"2798","398287","Ultrafabrics EUROPE LTD","0","3","5","","0.0000000000","YES"
"2798","401580","LA SOIE-NEYME SAS","0","2","3","","4.0000000000","YES"
"2798","402017","Kvadrat A/S","0","2","6","","4.0000000000","YES"
"2798","402512","Lear Corporation Poland II S","0","3","24","","0.0000000000","YES"
"2798","403383","TESCAP PORTUGAL, S.A.","0","2","2","","5.0000000000","YES"
"2798","405779","Quaker Houghton Sales B.V.","0","2","3","","0.0000000000","YES"
"2798","407209","ORO PLASTIKA D.O.O.","0","3","23","","0.0000000000","YES"
"2798","407418","REFIMA s. r. o.","0","2","6","","0.0000000000","YES"
"2798","408957","Sage Automotive Interiors,","0","2","19","","0.0000000000","YES"
"2798","409757","Tesca Tunisia Grombalia","0","2","3","","4.0000000000","YES"
"2798","414120","Wollsdorf Components d.o.o.","0","2","4","","5.0000000000","YES"
"2798","414405","UKS Stamping SRL","0","4","5","","0.0000000000","YES"
"2798","416257","Griffine Industries","0","2","4","","0.0000000000","YES"
"2798","420510","ERT Group Automotive SRL","0","2","12","","0.0000000000","YES"
