"Site","SupplierCode","SupplierName","QAD_SDPattern","IBT_SDPattern","SDPattern_Mismatch","QAD_TransportDays","IBT_TransportDays","TransportDays_Mismatch","Recommendation"
"2798","1525","ADIENT INNOTEC METAL","","","NO","5","2","YES","Set Transport Days to 2"
"2798","2352","ADIENT Ltd. & Co. KG","","","NO","7","2","YES","Set Transport Days to 2"
"2798","2359","TRIM Strumica PRINCIPAL","","","NO","0","7","YES","Set Transport Days to 7"
"2798","300024","Boxmark Leather GmbH & Co Kg","","","NO","0","7","YES","Set Transport Days to 7"
"2798","300216","AUNDE Achter & Ebels GmbH","","","NO","7","3","YES","Set Transport Days to 3"
"2798","300246","Benecke-Kaliko AG","","","NO","5","7","YES","Set Transport Days to 7"
"2798","300854","Straehle and Hess GmbH","","","NO","0","14","YES","Set Transport Days to 14"
"2798","302302","Uniroyal Global Ltd.","","","NO","0","7","YES","Set Transport Days to 7"
"2798","302583","Herbert Kneitz GmbH","","","NO","0","14","YES","Set Transport Days to 14"
"2798","302798","Aunde Poland sp. z.o.o.","","","NO","0","14","YES","Set Transport Days to 14"
"2798","305389","Sinflex Industria de Molas","","","NO","5","10","YES","Set Transport Days to 10"
"2798","305865","LISI Automotive Knipping VT ","","","NO","5","7","YES","Set Transport Days to 7"
"2798","307267","Tekstilna Tovarna Okroglica ","","","NO","0","7","YES","Set Transport Days to 7"
"2798","308202","Gueth & Wolf GmbH","","","NO","0","7","YES","Set Transport Days to 7"
"2798","308237","Tuchfabrik Willy Schmitz Gmb","","","NO","5","7","YES","Set Transport Days to 7"
"2798","309367","Alcantara Spa","","","NO","0","3","YES","Set Transport Days to 3"
"2798","309493","NEVEON Germany GmbH","","","NO","0","7","YES","Set Transport Days to 7"
"2798","310412","ASV vyrobni druzstvo","","","NO","0","3","YES","Set Transport Days to 3"
"2798","311867","Muller Textiles Slovakia s.r","","","NO","0","7","YES","Set Transport Days to 7"
"2798","314538","Snezka v.d.","","","NO","0","7","YES","Set Transport Days to 7"
"2798","314573","Kneitz Wilhelm AG","","","NO","0","7","YES","Set Transport Days to 7"
"2798","317032","Plama-pur d.o.o.","","","NO","0","7","YES","Set Transport Days to 7"
"2798","317067","Eagle Ottawa Hungary Kft.","","","NO","0","7","YES","Set Transport Days to 7"
"2798","320523","Kasko spol s.r.o.","","","NO","0","7","YES","Set Transport Days to 7"
"2798","320951","Dual Borgstena Textil Portug","","","NO","7","10","YES","Set Transport Days to 10"
"2798","321825","Aunde Italia spa","","","NO","0","7","YES","Set Transport Days to 7"
"2798","322402","Arrotex NV","","","NO","0","10","YES","Set Transport Days to 10"
"2798","322410","Benecke-Kaliko S.A.U.","","","NO","0","10","YES","Set Transport Days to 10"
"2798","322425","YKK Portugal","","","NO","0","7","YES","Set Transport Days to 7"
"2798","324587","MIKO SRL","","","NO","0","7","YES","Set Transport Days to 7"
"2798","325184","TMG - T.P.e O.R.para a I.A. ","","","NO","0","10","YES","Set Transport Days to 10"
"2798","331567","OKE Plastic SK, s.r.o.","","","NO","0","7","YES","Set Transport Days to 7"
"2798","336062","Milliken Industrials Ltd.","","","NO","0","10","YES","Set Transport Days to 10"
"2798","337797","Raymond A. Jablonec, s.r.o.","","","NO","5","7","YES","Set Transport Days to 7"
"2798","338441","JM PARTNERS.CZ","","","NO","0","7","YES","Set Transport Days to 7"
"2798","338458","Etisoft Sp.z o.o.","","","NO","0","7","YES","Set Transport Days to 7"
"2798","338888","Howe & Co. Pty. Ltd.","","","NO","0","7","YES","Set Transport Days to 7"
"2798","338953","TMG Automotive","","","NO","7","10","YES","Set Transport Days to 10"
"2798","339788","Texla a.s.","","","NO","0","5","YES","Set Transport Days to 5"
"2798","340290","Stokvis Promi s.r.o.","","","NO","0","7","YES","Set Transport Days to 7"
"2798","341170","KOSTELAR d.o.o.","","","NO","2","1","YES","Set Transport Days to 1"
"2798","347279","Copo Textil Portugal, S.A","","","NO","0","10","YES","Set Transport Days to 10"
"2798","349842","Polydesign Systems S.A.R.L.","","","NO","0","7","YES","Set Transport Days to 7"
"2798","353482","RUBA FERMUAR VE PRES DOKUM","","","NO","0","10","YES","Set Transport Days to 10"
"2798","353490","Toiltech SAS","","","NO","0","7","YES","Set Transport Days to 7"
"2798","354340","TR Holland","","","NO","7","10","YES","Set Transport Days to 10"
"2798","355399","Fremach Izegem NV","","","NO","7","5","YES","Set Transport Days to 5"
"2798","356999","BADER INTERNATIONAL","","","NO","5","2","YES","Set Transport Days to 2"
"2798","361589","J.H. Ziegler GmbH","","","NO","0","7","YES","Set Transport Days to 7"
"2798","361594","Elmo Sweden AB","","","NO","0","7","YES","Set Transport Days to 7"
"2798","362343","SIOEN FABRICS CALENDERING","","","NO","10","7","YES","Set Transport Days to 7"
"2798","366654","tesa tape Kft.","","","NO","0","7","YES","Set Transport Days to 7"
"2798","368854","YKK METAL VE PLASTIK URUNLER","","","NO","0","10","YES","Set Transport Days to 10"
