"Site","SupplierCode","SupplierName","ActivePOLineCount","Note"
"2798","2354","ADIENT SEATING DOOEL STIP","1","Supplier exists in QAD but not found in IBT master"
"2798","2848","ADIENT LTD & CO. KG","30","Supplier exists in QAD but not found in IBT master"
"2798","300280","NEDSCHROEF Altena","1","Supplier exists in QAD but not found in IBT master"
"2798","300603","Lubke and Vogt GmbH and Co K","1","Supplier exists in QAD but not found in IBT master"
"2798","314552","AUNDE FRANCE","1","Supplier exists in QAD but not found in IBT master"
"2798","327521","Leoni Wiring Systems UK Ltd","1","Supplier exists in QAD but not found in IBT master"
"2798","337107","KARTEX - VL, s.r.o.","7","Supplier exists in QAD but not found in IBT master"
"2798","338424","RABUGINO SP. Z o.o.","1","Supplier exists in QAD but not found in IBT master"
"2798","338468","GABEC Sp z o o","1","Supplier exists in QAD but not found in IBT master"
"2798","355544","CGR Polska Sp. Z.o.o","1","Supplier exists in QAD but not found in IBT master"
"2798","364653","Yoolim Industrial Co., Ldt.","5","Supplier exists in QAD but not found in IBT master"
"2798","393722","Bulten Polska SA","1","Supplier exists in QAD but not found in IBT master"
"2798","394033","Autostop Interiors D.O.O.","16","Supplier exists in QAD but not found in IBT master"
"2798","399980","SC Reinert Kunststofftechnik","3","Supplier exists in QAD but not found in IBT master"
"2798","401580","LA SOIE-NEYME SAS","3","Supplier exists in QAD but not found in IBT master"
"2798","405586","IDEAL Fastener Europe BV","3","Supplier exists in QAD but not found in IBT master"
"2798","407232","JP-AUTO,s. r. o.","2","Supplier exists in QAD but not found in IBT master"
"2798","411409","Benecke Changshun EcoTrim Ch","5","Supplier exists in QAD but not found in IBT master"
"2798","411483","Autins AB","2","Supplier exists in QAD but not found in IBT master"
"2798","413015","Lear Automotive Interior Mat","2","Supplier exists in QAD but not found in IBT master"
"2798","416312","Samvardhana Motherson Intern","1","Supplier exists in QAD but not found in IBT master"
"2798","416381","SEIREN Hungary Kft.","10","Supplier exists in QAD but not found in IBT master"
"2798","418164","Tabiplast Sp z oo","10","Supplier exists in QAD but not found in IBT master"
"2798","418498","TYMPHANY ACOUSTIC TECHNOLOGY","1","Supplier exists in QAD but not found in IBT master"
"2798","419556","Dual Borgstena (Shanghai) Co","15","Supplier exists in QAD but not found in IBT master"
"2798","420401","GUANGZHOU GKI CAR","1","Supplier exists in QAD but not found in IBT master"
"2798","420510","ERT Group Automotive SRL","12","Supplier exists in QAD but not found in IBT master"
