"Site","SupplierCode","SupplierName","ItemNumber","PONumber","POLine","QAD_StandardPack","SuggestedStandardPack","UsageCount","Recommendation"
"2798","1525","ADIENT INNOTEC METAL","5284261","55103571","2","3100","9300.0000000000","6","Update pod_ord_mult from 3100 to 9300.0000000000"
"2798","1525","ADIENT INNOTEC METAL","5707582","55103522","5","200","8.0000000000","11","Update pod_ord_mult from 200 to 8.0000000000"
"2798","1525","ADIENT INNOTEC METAL","5958878","55103522","2","200","2772.0000000000","10","Update pod_ord_mult from 200 to 2772.0000000000"
"2798","1525","ADIENT INNOTEC METAL","5958879","55103522","3","200","2772.0000000000","10","Update pod_ord_mult from 200 to 2772.0000000000"
"2798","1525","ADIENT INNOTEC METAL","6012456","55103522","4","200","3059.0000000000","5","Update pod_ord_mult from 200 to 3059.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5487478-H7_L","55104158","2","210","180.0000000000","14","Update pod_ord_mult from 210 to 180.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5665381","55104158","84","200","2772.0000000000","5","Update pod_ord_mult from 200 to 2772.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5684666","55104158","85","84","252.0000000000","7","Update pod_ord_mult from 84 to 252.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5838138-PFF-E","55104158","104","184","500.0000000000","6","Update pod_ord_mult from 184 to 500.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5838138-PFI-A","55104158","115","15","11.0000000000","5","Update pod_ord_mult from 15 to 11.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5838138-PFI-B","55104158","116","96","11.0000000000","5","Update pod_ord_mult from 96 to 11.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5838138-PFI-C","55104158","117","96","11.0000000000","5","Update pod_ord_mult from 96 to 11.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5838138-PFI-D","55104158","118","96","11.0000000000","5","Update pod_ord_mult from 96 to 11.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5838138-PFI-E","55104158","119","96","11.0000000000","5","Update pod_ord_mult from 96 to 11.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5838158-PFV-A","55104158","139","38","100.0000000000","5","Update pod_ord_mult from 38 to 100.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5838165-PAA-A","55104158","144","100","200.0000000000","18","Update pod_ord_mult from 100 to 200.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5838165-PAA-B","55104158","145","100","400.0000000000","16","Update pod_ord_mult from 100 to 400.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5838165-PAE-A","55104158","156","100","200.0000000000","10","Update pod_ord_mult from 100 to 200.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","5838165-PAE-B","55104158","157","100","400.0000000000","5","Update pod_ord_mult from 100 to 400.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","6133337","55104158","87","72","720.0000000000","12","Update pod_ord_mult from 72 to 720.0000000000"
"2798","2171","ADIENT SLOVAKIA s.r.o.","6358726-20_K","55104158","83","199","300.0000000000","5","Update pod_ord_mult from 199 to 300.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","5828934-10_WRR","55110855","5","1","60.0000000000","5","Update pod_ord_mult from 1 to 60.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","5828952-NH_WRR","55110855","88","1","120.0000000000","5","Update pod_ord_mult from 1 to 120.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6425554-20_I","55107748","2","300","1500.0000000000","5","Update pod_ord_mult from 300 to 1500.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6425621-20_I","55107748","1","300","1080.0000000000","6","Update pod_ord_mult from 300 to 1080.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6832510-10_WR","55110855","58","1","30.0000000000","6","Update pod_ord_mult from 1 to 30.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6834429-B52_WR","55110855","70","1","30.0000000000","6","Update pod_ord_mult from 1 to 30.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6834456-B52_WR","55110855","79","1","30.0000000000","5","Update pod_ord_mult from 1 to 30.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6834469-B52_WR","55110855","84","1","30.0000000000","5","Update pod_ord_mult from 1 to 30.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6834474-B52_WR","55110855","85","1","30.0000000000","6","Update pod_ord_mult from 1 to 30.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6834476-B52_WR","55110855","86","1","30.0000000000","6","Update pod_ord_mult from 1 to 30.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6834573-10_WR","55110855","11","1","60.0000000000","6","Update pod_ord_mult from 1 to 60.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6834594-B52_WR","55110855","44","1","30.0000000000","5","Update pod_ord_mult from 1 to 30.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6843884-20_TS","55110853","4","1","90.0000000000","6","Update pod_ord_mult from 1 to 90.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6843885-10_TS","55110853","5","1","30.0000000000","5","Update pod_ord_mult from 1 to 30.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6843888-20_TS","55110853","16","1","60.0000000000","6","Update pod_ord_mult from 1 to 60.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6843890-20_TS","55110853","10","1","60.0000000000","6","Update pod_ord_mult from 1 to 60.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6849028-65_TR","55110854","8","60","120.0000000000","6","Update pod_ord_mult from 60 to 120.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6853143-65_TR","55110854","6","30","60.0000000000","5","Update pod_ord_mult from 30 to 60.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6853295-65_TR","55110854","7","26","30.0000000000","5","Update pod_ord_mult from 26 to 30.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6853304-65_TR","55110854","4","30","60.0000000000","5","Update pod_ord_mult from 30 to 60.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","6950415-20_TS","55110853","33","1","30.0000000000","5","Update pod_ord_mult from 1 to 30.0000000000"
"2798","2352","ADIENT Ltd. & Co. KG","7155940-20_TS","55110853","36","1","30.0000000000","6","Update pod_ord_mult from 1 to 30.0000000000"
